iter	PRAUC	Logloss
0	0.4854418498	0.6794780528
5	0.4935857476	0.623496831
10	0.4957239687	0.5836017771
15	0.4967475171	0.5550598022
20	0.4983161408	0.5345974477
25	0.4995174869	0.5199055153
30	0.5008125989	0.5091579619
35	0.502059811	0.501239364
40	0.5029712656	0.4954425484
45	0.5042756701	0.4910816308
50	0.5053689323	0.4877031651
55	0.5064572646	0.4851312524
60	0.5077052276	0.4830992521
65	0.5088501271	0.4814512456
70	0.51023189	0.4801433455
75	0.5113983062	0.4791395605
80	0.5121938413	0.4781968516
85	0.5133440433	0.4773802648
90	0.5144840011	0.4766616613
95	0.5152468765	0.4760759856
100	0.516360508	0.4755132134
105	0.5172186014	0.4749912748
110	0.5183436024	0.474499569
115	0.5194664594	0.4740238738
120	0.5205062382	0.4735623569
125	0.5214227966	0.4731530165
130	0.5224668246	0.4727181986
135	0.523465386	0.4723083346
140	0.5245846727	0.4718976854
145	0.5256080783	0.4714944089
150	0.5265207648	0.4711170025
155	0.5275921808	0.4707024706
160	0.528585834	0.4703317826
165	0.5294669112	0.469987619
170	0.5303429997	0.4696466401
175	0.5313525129	0.4692338532
180	0.5323341717	0.4688771691
185	0.5332067557	0.4684989774
190	0.5339861423	0.4681804222
195	0.5348480998	0.4678344699
200	0.5357406161	0.467498508
205	0.5365615699	0.4671509416
210	0.5375456987	0.4667825658
215	0.5383241757	0.4664797158
220	0.5394718867	0.4660476899
225	0.5402771566	0.465756488
230	0.5411152517	0.4654254994
235	0.5420312976	0.4650606572
240	0.5429754631	0.464725437
245	0.5436558352	0.4644262079
250	0.5445809512	0.464086974
255	0.5455451103	0.4637353505
260	0.5463633616	0.4634280943
265	0.5471760943	0.4630903437
270	0.5480205195	0.4627761074
275	0.5489237389	0.4624309404
280	0.5498124725	0.4620806256
285	0.5505270133	0.4617815275
290	0.551344044	0.4614546397
295	0.552149498	0.4611089492
300	0.5528818713	0.4608197977
305	0.5538265032	0.4604180045
310	0.5546079153	0.4601017178
315	0.5554035375	0.4597959885
320	0.5560478734	0.4595328816
325	0.5567764718	0.4592088731
