iter	Passed	Remaining
0	47	75078
1	86	68658
2	128	68238
3	165	65725
4	207	65960
5	255	67585
6	293	66342
7	329	65226
8	367	64646
9	407	64384
10	454	65308
11	491	64690
12	531	64551
13	572	64498
14	610	64135
15	658	64791
16	696	64530
17	736	64364
18	776	64244
19	817	64219
20	868	64949
21	907	64709
22	945	64439
23	985	64324
24	1022	64078
25	1074	64684
26	1113	64511
27	1152	64356
28	1192	64243
29	1231	64102
30	1283	64604
31	1321	64364
32	1360	64250
33	1400	64131
34	1441	64090
35	1493	64503
36	1532	64371
37	1573	64293
38	1612	64174
39	1650	64000
40	1701	64330
41	1743	64297
42	1781	64137
43	1820	64015
44	1858	63841
45	1908	64101
46	1952	64136
47	1992	64060
48	2032	63969
49	2074	63929
50	2132	64402
51	2171	64258
52	2209	64118
53	2247	63965
54	2283	63766
55	2331	63907
56	2370	63790
57	2408	63664
58	2445	63510
59	2484	63396
60	2535	63584
61	2576	63532
62	2614	63403
63	2652	63276
64	2691	63194
65	2745	63444
66	2783	63314
67	2820	63182
68	2859	63069
69	2897	62958
70	2947	63092
71	2984	62972
72	3020	62810
73	3059	62727
74	3098	62626
75	3150	62803
76	3186	62655
77	3223	62525
78	3261	62418
79	3300	62345
80	3352	62500
81	3392	62434
82	3430	62325
83	3469	62236
84	3507	62142
85	3557	62248
86	3597	62191
87	3635	62099
88	3674	62014
89	3711	61905
90	3760	61993
91	3798	61889
92	3835	61778
93	3871	61660
94	3910	61577
95	3958	61651
96	3996	61548
97	4034	61465
98	4072	61375
99	4112	61314
100	4163	61418
101	4203	61357
102	4241	61279
103	4280	61204
104	4315	61075
105	4364	61149
106	4401	61044
107	4439	60959
108	4477	60872
109	4513	60765
110	4562	60832
111	4601	60758
112	4639	60676
113	4676	60594
114	4715	60524
115	4764	60578
116	4802	60499
117	4838	60393
118	4875	60310
119	4913	60230
120	4962	60284
121	4998	60181
122	5037	60122
123	5074	60035
124	5113	59970
125	5164	60052
126	5202	59969
127	5244	59948
128	5284	59896
129	5323	59822
130	5373	59889
131	5413	59835
132	5450	59745
133	5490	59698
134	5527	59615
135	5575	59651
136	5613	59581
137	5653	59524
138	5689	59431
139	5729	59378
140	5778	59423
141	5815	59344
142	5852	59261
143	5889	59180
144	5926	59098
145	5974	59130
146	6018	59122
147	6056	59052
148	6095	58988
149	6135	58939
150	6189	59025
151	6228	58961
152	6267	58903
153	6305	58833
154	6344	58774
155	6394	58823
156	6432	58752
157	6470	58683
158	6510	58634
159	6550	58590
160	6598	58607
161	6636	58540
162	6690	58609
163	6728	58545
164	6767	58488
165	6820	58547
166	6861	58504
167	6900	58446
168	6938	58383
169	6974	58297
170	7023	58321
171	7061	58257
172	7099	58192
173	7141	58155
174	7182	58119
175	7233	58158
176	7271	58091
177	7309	58024
178	7350	57978
179	7388	57917
180	7436	57933
181	7473	57858
182	7512	57799
183	7550	57738
184	7587	57666
185	7635	57673
186	7673	57613
187	7709	57535
188	7747	57472
189	7785	57407
190	7836	57437
191	7874	57374
192	7911	57307
193	7948	57240
194	7987	57184
195	8038	57210
196	8077	57158
197	8114	57088
198	8151	57019
199	8192	56976
200	8241	56992
201	8279	56932
202	8332	56970
203	8371	56919
204	8409	56859
205	8457	56859
206	8495	56801
207	8532	56729
208	8572	56684
209	8608	56614
210	8662	56657
211	8704	56620
212	8743	56564
213	8780	56499
214	8821	56455
215	8873	56484
216	8913	56438
217	8953	56388
218	8992	56338
219	9033	56296
220	9088	56339
221	9125	56274
222	9164	56218
223	9207	56189
224	9247	56143
225	9296	56150
226	9336	56103
227	9376	56056
228	9415	56001
229	9455	55948
230	9505	55965
231	9544	55907
232	9582	55849
233	9623	55807
234	9663	55762
235	9719	55802
236	9758	55750
237	9795	55687
238	9833	55628
239	9872	55572
240	9922	55583
241	9960	55523
242	10001	55481
243	10040	55427
244	10079	55373
245	10130	55389
246	10171	55347
247	10213	55311
248	10253	55262
249	10290	55200
250	10338	55196
251	10376	55133
252	10414	55077
253	10451	55015
254	10492	54970
255	10546	55000
256	10584	54940
257	10623	54889
258	10662	54836
259	10703	54792
260	10752	54792
261	10791	54739
262	10828	54678
263	10866	54618
264	10905	54567
265	10966	54628
266	11005	54571
267	11043	54518
268	11084	54473
269	11122	54418
270	11171	54415
271	11211	54369
272	11255	54341
273	11294	54288
274	11334	54241
275	11382	54232
276	11420	54175
277	11460	54130
278	11499	54078
279	11538	54026
280	11592	54042
281	11630	53985
282	11671	53944
283	11712	53904
284	11755	53870
285	11807	53876
286	11847	53830
287	11885	53775
288	11926	53731
289	11969	53695
290	12018	53691
291	12059	53646
292	12099	53599
293	12137	53543
294	12175	53489
295	12226	53491
296	12268	53453
297	12306	53395
298	12343	53335
299	12379	53275
300	12434	53292
301	12477	53258
302	12517	53210
303	12557	53160
304	12596	53113
305	12646	53106
306	12685	53057
307	12725	53007
308	12764	52959
309	12805	52913
310	12854	52905
311	12892	52852
312	12931	52799
313	12970	52750
314	13009	52698
315	13057	52684
316	13096	52635
317	13141	52609
318	13180	52556
319	13218	52503
320	13272	52510
321	13315	52476
322	13354	52424
323	13393	52376
324	13433	52330
325	13484	52325
326	13524	52278
327	13565	52234
328	13610	52207
329	13654	52177
