clinic_id,specialty,clinic_lat,clinic_lon,capacity_daily,base_wait_mins_est,open_on_saturday,sms_policy_prob,is_cold_start_clinic
1,gynecology,39.950367,32.866608,89,22.46548,0,0.41963693,0
2,general_practice,39.920982,32.745235,59,22.651072,0,0.77668923,0
3,orthopedics,40.00866,32.836956,65,27.387398,0,0.6999214,0
4,orthopedics,39.980732,32.755264,49,22.504534,0,0.4861455,0
5,orthopedics,40.010174,32.82553,68,30.751589,0,0.46037894,0
6,gynecology,40.078133,32.933254,82,18.937632,1,0.5582663,0
7,general_practice,39.919323,32.732098,70,27.505571,0,0.8929711,0
8,general_practice,39.979794,32.79042,84,21.584501,0,0.770523,0
9,ent,39.840687,32.782646,35,21.061413,0,0.5903093,0
10,orthopedics,39.87967,32.84377,58,29.381073,0,0.70733804,0
11,urology,39.907764,32.80245,34,25.590534,1,0.4852296,0
12,general_practice,39.995144,33.00809,45,15.72629,0,0.7350972,0
13,general_practice,39.985725,32.87107,80,15.977945,0,0.6453877,0
14,gynecology,39.82351,32.74185,70,29.314604,0,0.48079967,0
15,general_practice,39.968742,32.880367,31,21.745508,0,0.82380164,0
16,cardiology,39.864532,32.81715,33,23.641527,0,0.5209064,0
17,neurology,39.87812,32.900345,20,38.674366,0,0.5040579,0
18,cardiology,40.103737,32.834515,81,30.246033,1,0.6410333,0
19,orthopedics,39.8456,32.841854,81,27.688885,0,0.4844728,0
20,general_practice,40.008263,32.97521,43,13.917209,0,0.6715035,0
21,endocrinology,39.900486,32.79573,52,33.46819,1,0.61836886,0
22,general_practice,39.97993,32.781982,61,14.705579,1,0.8684838,0
23,ophthalmology,39.912846,32.795696,30,27.047546,0,0.5468543,0
24,pediatrics,40.001354,32.781452,80,11.027545,0,0.3941287,0
25,gynecology,39.838818,32.790283,58,21.433363,0,0.5217622,0
26,endocrinology,39.898056,32.88538,64,33.444088,1,0.56751543,0
27,ent,39.931732,32.760513,46,20.819004,1,0.4788912,0
28,endocrinology,40.064205,33.000343,81,27.859362,0,0.51660043,0
29,ophthalmology,39.940933,32.764603,50,22.55285,0,0.6575194,0
30,cardiology,40.029118,32.803787,66,27.809904,0,0.48193675,1
31,cardiology,40.08568,32.728527,67,35.737484,0,0.5078039,1
32,pediatrics,39.872467,32.785133,42,15.961436,1,0.7041261,1
33,neurology,39.76121,32.959423,58,31.028996,0,0.6041291,1
34,ophthalmology,39.854176,32.713505,56,23.371817,0,0.5890482,1
35,gynecology,40.023483,32.540794,48,27.74125,1,0.5448739,1
36,psychiatry,39.797142,32.739937,36,26.763624,0,0.3165826,1
