model,model_type,fold,valid_start,valid_end,fold_ap,n_train,n_valid
clinic_aware_seed1,catboost,4,2025-07-12,2025-08-08,0.4877317103677942,126652,18435
clinic_aware_seed1,catboost,3,2025-08-09,2025-09-05,0.49084174334964303,145087,18357
clinic_aware_seed1,catboost,2,2025-09-06,2025-10-03,0.4888941338141065,163444,18265
clinic_aware_seed1,catboost,1,2025-10-04,2025-10-31,0.4911839365014839,181709,18291
clinic_aware_seed2,catboost,4,2025-07-12,2025-08-08,0.48795829590378664,126652,18435
clinic_aware_seed2,catboost,3,2025-08-09,2025-09-05,0.4907308510666805,145087,18357
clinic_aware_seed2,catboost,2,2025-09-06,2025-10-03,0.48908024422397084,163444,18265
clinic_aware_seed2,catboost,1,2025-10-04,2025-10-31,0.4906679665101438,181709,18291
clinic_agnostic_seed1,catboost,4,2025-07-12,2025-08-08,0.48820833164320626,126652,18435
clinic_agnostic_seed1,catboost,3,2025-08-09,2025-09-05,0.4909928378399062,145087,18357
clinic_agnostic_seed1,catboost,2,2025-09-06,2025-10-03,0.4893927269657245,163444,18265
clinic_agnostic_seed1,catboost,1,2025-10-04,2025-10-31,0.49090355527568375,181709,18291
clinic_agnostic_seed2,catboost,4,2025-07-12,2025-08-08,0.4880673580293523,126652,18435
clinic_agnostic_seed2,catboost,3,2025-08-09,2025-09-05,0.4907589534327661,145087,18357
clinic_agnostic_seed2,catboost,2,2025-09-06,2025-10-03,0.48925072248689905,163444,18265
clinic_agnostic_seed2,catboost,1,2025-10-04,2025-10-31,0.4909905400667302,181709,18291
lgb_clinic_aware_seed1,lightgbm,4,2025-07-12,2025-08-08,0.47669827926030334,126652,18435
lgb_clinic_aware_seed1,lightgbm,3,2025-08-09,2025-09-05,0.4777558255121242,145087,18357
lgb_clinic_aware_seed1,lightgbm,2,2025-09-06,2025-10-03,0.47764197701600286,163444,18265
lgb_clinic_aware_seed1,lightgbm,1,2025-10-04,2025-10-31,0.4811575145480441,181709,18291
lgb_clinic_aware_seed2,lightgbm,4,2025-07-12,2025-08-08,0.4774553060336905,126652,18435
lgb_clinic_aware_seed2,lightgbm,3,2025-08-09,2025-09-05,0.4774214679923797,145087,18357
lgb_clinic_aware_seed2,lightgbm,2,2025-09-06,2025-10-03,0.4778278417765689,163444,18265
lgb_clinic_aware_seed2,lightgbm,1,2025-10-04,2025-10-31,0.48127790548994576,181709,18291
lgb_clinic_agnostic_seed1,lightgbm,4,2025-07-12,2025-08-08,0.47884776691232644,126652,18435
lgb_clinic_agnostic_seed1,lightgbm,3,2025-08-09,2025-09-05,0.48074549224420476,145087,18357
lgb_clinic_agnostic_seed1,lightgbm,2,2025-09-06,2025-10-03,0.4789017456764472,163444,18265
lgb_clinic_agnostic_seed1,lightgbm,1,2025-10-04,2025-10-31,0.4816822892783968,181709,18291
lgb_clinic_agnostic_seed2,lightgbm,4,2025-07-12,2025-08-08,0.4791975105882661,126652,18435
lgb_clinic_agnostic_seed2,lightgbm,3,2025-08-09,2025-09-05,0.48080285500903996,145087,18357
lgb_clinic_agnostic_seed2,lightgbm,2,2025-09-06,2025-10-03,0.47953790523358014,163444,18265
lgb_clinic_agnostic_seed2,lightgbm,1,2025-10-04,2025-10-31,0.48201088235778966,181709,18291
