model,fold,valid_start,valid_end,fold_ap,n_train,n_valid
clinic_aware_seed1,4,2025-07-12,2025-08-08,0.48768184182629815,126652,18435
clinic_aware_seed1,3,2025-08-09,2025-09-05,0.4911838818656153,145087,18357
clinic_aware_seed1,2,2025-09-06,2025-10-03,0.48863251522622786,163444,18265
clinic_aware_seed1,1,2025-10-04,2025-10-31,0.4914307816869673,181709,18291
clinic_aware_seed2,4,2025-07-12,2025-08-08,0.4873775678241986,126652,18435
clinic_aware_seed2,3,2025-08-09,2025-09-05,0.49030868514058196,145087,18357
clinic_aware_seed2,2,2025-09-06,2025-10-03,0.48918615006140764,163444,18265
clinic_aware_seed2,1,2025-10-04,2025-10-31,0.49072375485450104,181709,18291
clinic_agnostic_seed1,4,2025-07-12,2025-08-08,0.487971484504242,126652,18435
clinic_agnostic_seed1,3,2025-08-09,2025-09-05,0.49082809372435254,145087,18357
clinic_agnostic_seed1,2,2025-09-06,2025-10-03,0.4891743596920157,163444,18265
clinic_agnostic_seed1,1,2025-10-04,2025-10-31,0.49110490141463575,181709,18291
clinic_agnostic_seed2,4,2025-07-12,2025-08-08,0.48844104102931807,126652,18435
clinic_agnostic_seed2,3,2025-08-09,2025-09-05,0.49143733223182645,145087,18357
clinic_agnostic_seed2,2,2025-09-06,2025-10-03,0.4892452853977173,163444,18265
clinic_agnostic_seed2,1,2025-10-04,2025-10-31,0.4919235487686991,181709,18291
