model,fold,valid_start,valid_end,fold_ap,n_train,n_valid,raw_best_iter,used_iter
clinic_aware_seed1,4,2025-07-12,2025-08-08,0.48703565162766027,126652,18435,379,500
clinic_aware_seed1,3,2025-08-09,2025-09-05,0.4913408947056617,145087,18357,355,500
clinic_aware_seed1,2,2025-09-06,2025-10-03,0.4891531994023887,163444,18265,443,500
clinic_aware_seed1,1,2025-10-04,2025-10-31,0.4906974923368636,181709,18291,617,617
clinic_aware_seed2,4,2025-07-12,2025-08-08,0.4876485064445385,126652,18435,301,500
clinic_aware_seed2,3,2025-08-09,2025-09-05,0.49147829491153106,145087,18357,428,500
clinic_aware_seed2,2,2025-09-06,2025-10-03,0.4893800104131837,163444,18265,335,500
clinic_aware_seed2,1,2025-10-04,2025-10-31,0.4903817710115477,181709,18291,396,500
clinic_agnostic_seed1,4,2025-07-12,2025-08-08,0.4879456657165019,126652,18435,433,500
clinic_agnostic_seed1,3,2025-08-09,2025-09-05,0.4911432806801573,145087,18357,383,500
clinic_agnostic_seed1,2,2025-09-06,2025-10-03,0.4896430930355797,163444,18265,440,500
clinic_agnostic_seed1,1,2025-10-04,2025-10-31,0.4904088875560744,181709,18291,767,767
clinic_agnostic_seed2,4,2025-07-12,2025-08-08,0.4877348534883501,126652,18435,346,500
clinic_agnostic_seed2,3,2025-08-09,2025-09-05,0.4912516869613722,145087,18357,372,500
clinic_agnostic_seed2,2,2025-09-06,2025-10-03,0.48943897844344963,163444,18265,339,500
clinic_agnostic_seed2,1,2025-10-04,2025-10-31,0.4907696902110217,181709,18291,523,523
