number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,user_attrs_best_iteration,system_attrs_fixed_params,state
0,0.49579773288672446,2026-03-19 01:48:52.374671,2026-03-19 01:49:05.310880,0 days 00:00:12.936209,0.8095050269820508,6,1156,8.888685198938465,0.03640965735627336,21,369,"{'iterations': 1156, 'learning_rate': 0.03640965735627336, 'depth': 6, 'l2_leaf_reg': 8.888685198938465, 'bagging_temperature': 0.8095050269820508, 'min_data_in_leaf': 21}",COMPLETE
1,0.49433027549372743,2026-03-19 01:49:05.310880,2026-03-19 01:49:24.379403,0 days 00:00:19.068523,0.833861227269209,7,803,3.920978540174266,0.007265076564813751,100,798,,COMPLETE
2,0.4949010047024037,2026-03-19 01:49:24.379403,2026-03-19 01:49:35.586416,0 days 00:00:11.207013,0.29640716647513166,6,1911,5.044960751780444,0.028506238161098593,35,349,,COMPLETE
3,0.49427518711340024,2026-03-19 01:49:35.587423,2026-03-19 01:50:24.508378,0 days 00:00:48.920955,0.990839425672578,9,1654,6.701919734262987,0.007447562484281768,16,1051,,COMPLETE
4,0.4939744924645762,2026-03-19 01:50:24.509258,2026-03-19 01:51:18.474313,0 days 00:00:53.965055,0.13513780731851177,10,1786,6.700336676209902,0.006353991033104021,27,870,,COMPLETE
5,0.493882931236885,2026-03-19 01:51:18.474313,2026-03-19 01:51:35.737072,0 days 00:00:17.262759,0.6877137216928985,10,1378,4.31247240311105,0.038704173117887715,86,142,,COMPLETE
6,0.4952492045993739,2026-03-19 01:51:35.737072,2026-03-19 01:51:50.168904,0 days 00:00:14.431832,0.7235801307888727,7,1818,7.144125755771294,0.029554024543461246,53,296,,COMPLETE
7,0.49492747016959016,2026-03-19 01:51:50.168904,2026-03-19 01:52:02.658683,0 days 00:00:12.489779,0.6929779631213105,8,1077,9.10206528635504,0.046483373262216666,70,170,,COMPLETE
8,0.4945925747746928,2026-03-19 01:52:02.658683,2026-03-19 01:52:18.850128,0 days 00:00:16.191445,0.7828991893701653,7,606,3.2993002135584684,0.027155321681363535,37,370,,COMPLETE
9,0.4947554522590173,2026-03-19 01:52:18.850128,2026-03-19 01:52:34.786029,0 days 00:00:15.935901,0.6950117133716684,7,515,3.107054908641688,0.03656721521970332,96,295,,COMPLETE
10,0.49485242853129396,2026-03-19 01:52:34.786029,2026-03-19 01:52:59.422233,0 days 00:00:24.636204,0.44816880531703374,6,1166,1.2638657886644937,0.012909370819656402,54,767,,COMPLETE
11,0.494749687615735,2026-03-19 01:52:59.422233,2026-03-19 01:53:15.862067,0 days 00:00:16.439834,0.5035277346962023,6,1480,9.606150098062201,0.01797985167204994,54,477,,COMPLETE
12,0.4951224428396632,2026-03-19 01:53:15.862067,2026-03-19 01:53:51.642796,0 days 00:00:35.780729,0.9439472463518823,8,961,7.98926543342938,0.020073408408538763,14,705,,COMPLETE
13,0.49480046340456996,2026-03-19 01:53:51.643795,2026-03-19 01:54:12.638660,0 days 00:00:20.994865,0.5515763278539922,7,1506,8.085533827153304,0.02615793166561792,70,342,,COMPLETE
14,0.49477740820236926,2026-03-19 01:54:12.638660,2026-03-19 01:54:43.281869,0 days 00:00:30.643209,0.8503974104613793,8,1239,6.680165555250861,0.012342107727096723,41,702,,COMPLETE
15,0.4948355463499477,2026-03-19 01:54:43.281869,2026-03-19 01:54:51.490808,0 days 00:00:08.208939,0.5855079219885441,6,942,8.044491736903982,0.049752468345531126,67,136,,COMPLETE
16,0.49492855534483293,2026-03-19 01:54:51.490808,2026-03-19 01:55:06.468240,0 days 00:00:14.977432,0.3895997076113705,7,1996,9.802190412823872,0.0326830885206764,24,296,,COMPLETE
17,0.4932361523392671,2026-03-19 01:55:06.469226,2026-03-19 01:55:34.051959,0 days 00:00:27.582733,0.0448350214361567,9,1667,6.088815161928988,0.020413757144718415,44,311,,COMPLETE
18,0.4952398841644744,2026-03-19 01:55:34.051959,2026-03-19 01:56:57.431771,0 days 00:01:23.379812,0.897772348688411,6,1426,8.658357449670936,0.01476614268874894,83,775,,COMPLETE
19,0.49386074328600427,2026-03-19 01:56:57.431771,2026-03-19 01:57:18.578224,0 days 00:00:21.146453,0.768871831538993,8,781,7.451341923910236,0.023364212707418813,10,393,,COMPLETE
20,0.494761689537844,2026-03-19 01:57:18.578224,2026-03-19 01:57:45.830585,0 days 00:00:27.252361,0.6337689400388129,7,1292,5.243657733975432,0.010304793711802046,26,692,,COMPLETE
21,0.4949821530853554,2026-03-19 01:57:45.830585,2026-03-19 01:58:06.812051,0 days 00:00:20.981466,0.9082222490065848,6,1548,8.75614260606297,0.01569322926046978,82,686,,COMPLETE
22,0.4951765212721293,2026-03-19 01:58:06.813034,2026-03-19 01:58:31.475575,0 days 00:00:24.662541,0.8915361339457815,6,1806,8.807603693501369,0.014835575115668926,63,865,,COMPLETE
23,0.49516213639922146,2026-03-19 01:58:31.476573,2026-03-19 01:59:03.005459,0 days 00:00:31.528886,0.7659348446697167,6,1357,7.258945613692299,0.009594664076046571,81,1230,,COMPLETE
24,0.49458378100065703,2026-03-19 01:59:03.006443,2026-03-19 01:59:14.037099,0 days 00:00:11.030656,0.8239583357031902,7,1036,8.56629152318072,0.03845464225003602,47,184,,COMPLETE
25,0.4948379912154886,2026-03-19 01:59:14.037099,2026-03-19 01:59:29.868891,0 days 00:00:15.831792,0.975301174029526,6,1700,9.430195918437601,0.022563700100201707,59,438,,COMPLETE
26,0.49471092287161245,2026-03-19 01:59:29.868891,2026-03-19 01:59:43.237489,0 days 00:00:13.368598,0.7433216586589431,7,1140,9.99174929975192,0.030806637905912183,75,295,,COMPLETE
27,0.49493916556312295,2026-03-19 01:59:43.237489,2026-03-19 01:59:54.348488,0 days 00:00:11.110999,0.8986069982109601,6,1396,7.420633294058659,0.04285433614152055,90,286,,COMPLETE
28,0.4948798813376426,2026-03-19 01:59:54.349415,2026-03-19 02:00:12.528089,0 days 00:00:18.178674,0.6202886152783699,6,1565,5.884715910418557,0.01732105879824004,48,606,,COMPLETE
29,0.4946418654938549,2026-03-19 02:00:12.528089,2026-03-19 02:00:35.297103,0 days 00:00:22.769014,0.8798463268849642,7,814,8.323289398934618,0.008949617343162172,31,791,,COMPLETE
